clase,fpr,tpr,threshold,auc
Insatisfecho,0.0,0.0,inf,0.9932151308213614
Insatisfecho,0.0,0.16656127481977995,1.0,0.9932151308213614
Insatisfecho,0.0002213736233327799,0.2760844821044644,0.99,0.9932151308213614
Insatisfecho,0.0003874038408323648,0.34779309472619196,0.98,0.9932151308213614
Insatisfecho,0.0004980906524987548,0.40521057291007967,0.97,0.9932151308213614
Insatisfecho,0.0005534340583319497,0.4508663209814089,0.96,0.9932151308213614
Insatisfecho,0.0006641208699983397,0.4866573921841406,0.95,0.9932151308213614
Insatisfecho,0.0008301510874979246,0.5163778930061971,0.94,0.9932151308213614
Insatisfecho,0.0012175549283302894,0.5429366384216517,0.93,0.9932151308213614
Insatisfecho,0.0014389285516630693,0.5668395092955609,0.92,0.9932151308213614
Insatisfecho,0.0016049587691626542,0.5892247375743013,0.91,0.9932151308213614
Insatisfecho,0.0017156455808290442,0.6073099785000632,0.9,0.9932151308213614
Insatisfecho,0.001881675798328629,0.6259011002908815,0.89,0.9932151308213614
Insatisfecho,0.002103049421661409,0.6423422284052106,0.88,0.9932151308213614
Insatisfecho,0.002213736233327799,0.6575186543568989,0.87,0.9932151308213614
Insatisfecho,0.002435109856660579,0.6710509674971544,0.86,0.9932151308213614
Insatisfecho,0.0026011400741601637,0.6850891615024661,0.85,0.9932151308213614
Insatisfecho,0.0027118268858265537,0.6964714809662325,0.84,0.9932151308213614
Insatisfecho,0.0028778571033261386,0.706589098267358,0.83,0.9932151308213614
Insatisfecho,0.0032099175383253084,0.7187302390287087,0.82,0.9932151308213614
Insatisfecho,0.0034866345674912833,0.7299860882762109,0.81,0.9932151308213614
Insatisfecho,0.003818695002490453,0.7413684077399773,0.8,0.9932151308213614
Insatisfecho,0.004261442249156013,0.7508536739597824,0.79,0.9932151308213614
Insatisfecho,0.004704189495821573,0.7629948147211332,0.78,0.9932151308213614
Insatisfecho,0.004925563119154353,0.7732389022385229,0.77,0.9932151308213614
Insatisfecho,0.005423653771653107,0.7834829897559125,0.76,0.9932151308213614
Insatisfecho,0.005866401018318667,0.7900594410016442,0.75,0.9932151308213614
Insatisfecho,0.006696552105816592,0.7994182370051853,0.74,0.9932151308213614
Insatisfecho,0.006973269134982567,0.8068799797647654,0.73,0.9932151308213614
Insatisfecho,0.007526703193314516,0.8156064246869862,0.72,0.9932151308213614
Insatisfecho,0.008412197686645636,0.8250916909067915,0.71,0.9932151308213614
Insatisfecho,0.009187005368310366,0.8312887315037308,0.7,0.9932151308213614
Insatisfecho,0.009740439426642315,0.836979891235614,0.69,0.9932151308213614
Insatisfecho,0.01045990370247385,0.8426710509674972,0.68,0.9932151308213614
Insatisfecho,0.011068681166638995,0.849626912862021,0.67,0.9932151308213614
Insatisfecho,0.012064862471636505,0.856835715189073,0.66,0.9932151308213614
Insatisfecho,0.012895013559134428,0.8637915770835968,0.65,0.9932151308213614
Insatisfecho,0.013725164646632353,0.8703680283293285,0.64,0.9932151308213614
